"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
somna_scared_10_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_10_frequency] != '0'",,,,,,
somna_scared_11_frequency,somna,,radio,"Feel nauseous","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_11_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_11_frequency] != '0'",,,,,,
somna_scared_12_frequency,somna,,radio," Feel that you urinate more than usual / have the urge to urinate more than usual ","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_12_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_12_frequency] != '0'",,,,,,
somna_scared_13_frequency,somna,,radio,"Find it more difficult to urinate","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_13_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_13_frequency] != '0'",,,,,,
somna_scared_14_frequency,somna,,radio,"Have a bowel movement less than usual ","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_14_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_14_frequency] != '0'",,,,,,
somna_scared_15_frequency,somna,,radio,"Have trouble breathing","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_15_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_15_frequency] != '0'",,,,,,
somna_scared_16_frequency,somna,,radio,"Have an uncomfortable feeling in your stomach","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_16_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_16_frequency] != '0'",,,,,,
somna_scared_17_frequency,somna,,radio,"Get clammy hands","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_17_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_17_frequency] != '0'",,,,,,
somna_scared_18_frequency,somna,,radio,"Feel like your heart is racing","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_18_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_18_frequency] != '0'",,,,,,
somna_scared_19_frequency,somna,,radio,"Feel lethargic or low energy","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_19_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_19_frequency] != '0'",,,,,,
somna_scared_20_frequency,somna,,radio,"Breathe fast","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_20_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_20_frequency] != '0'",,,,,,
somna_scared_21_frequency,somna,,radio,"Have a headache","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_21_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_21_frequency] != '0'",,,,,,
somna_scared_22_frequency,somna,,radio,"Feel like your face is going pale","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_22_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_22_frequency] != '0'",,,,,,
somna_scared_23_frequency,somna,,radio,"Feel like your face is flushing red","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_23_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_23_frequency] != '0'",,,,,,
somna_scared_24_frequency,somna,,radio,"Have butterflies in your stomach","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_24_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_24_frequency] != '0'",,,,,,
somna_scared_25_frequency,somna,,radio,"Feel your heart racing","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_25_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_25_frequency] != '0'",,,,,,
somna_scared_26_frequency,somna,,radio,"Feel like it's difficult to breathe","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_26_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_26_frequency] != '0'",,,,,,
somna_scared_27_frequency,somna,,radio,"Get tightness or heaviness in your chest","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_27_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_27_frequency] != '0'",,,,,,
somna_scared_28_frequency,somna,,radio,"Feel lethargic or low energy","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_28_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_28_frequency] != '0'",,,,,,
somna_scared_29_frequency,somna,,radio,"Feel like your throat is constricting","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_29_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_29_frequency] != '0'",,,,,,
somna_scared_30_frequency,somna,,radio,"Feel tired or fatigued","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_30_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_30_frequency] != '0'",,,,,,
somna_scared_31_frequency,somna,,radio,"Get hot or cold","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_31_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_31_frequency] != '0'",,,,,,
somna_scared_32_frequency,somna,,radio," Start sweating","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_32_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_32_frequency] != '0'",,,,,,
somna_scared_33_frequency,somna,,radio,"Experience shallow breathing","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_33_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_33_frequency] != '0'",,,,,,
somna_scared_34_frequency,somna,,radio,"Have aches or pains","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_scared_34_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_scared_34_frequency] != '0'",,,,,,
somna_anxious_1_frequency,somna,"For this section, think of a time you were really anxious or of something that typically makes you really anxious. 

For example, when you when you get worried about future events, like taking an exam, giving a presentation, having enough money, getting a good job, etc. Pick something that is particularly scary to you.

When you're feeling anxious how often do you? ",radio," Begin breathing heavily","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_anxious_1_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_anxious_1_frequency] != '0'",,,,,,
somna_anxious_2_frequency,somna,,radio,"Have a bowel movement more than usual","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_anxious_2_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_anxious_2_frequency] != '0'",,,,,,
somna_anxious_3_frequency,somna,,radio," Get goosebumps","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_anxious_3_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_anxious_3_frequency] != '0'",,,,,,
somna_anxious_4_frequency,somna,,radio,"Feel like your mouth is really dry","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_anxious_4_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_anxious_4_frequency] != '0'",,,,,,
somna_anxious_5_frequency,somna,,radio,"Feel stiff","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_anxious_5_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_anxious_5_frequency] != '0'",,,,,,
somna_anxious_6_frequency,somna,,radio,"Eat more than usual","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_anxious_6_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_anxious_6_frequency] != '0'",,,,,,
somna_anxious_7_frequency,somna,,radio,"Get shaky or tremble","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_anxious_7_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_anxious_7_frequency] != '0'",,,,,,
somna_anxious_8_frequency,somna,,radio,"Not feel like eating anything","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_anxious_8_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_anxious_8_frequency] != '0'",,,,,,
somna_anxious_9_frequency,somna,,radio,"Feel like your skin is burning","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_anxious_9_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_anxious_9_frequency] != '0'",,,,,,
somna_anxious_10_frequency,somna,,radio,"Feel sick to your stomach","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_anxious_10_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_anxious_10_frequency] != '0'",,,,,,
somna_anxious_11_frequency,somna,,radio,"Feel nauseous","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_anxious_11_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_anxious_11_frequency] != '0'",,,,,,
somna_anxious_12_frequency,somna,,radio," Feel that you urinate more than usual / have the urge to urinate more than usual ","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_anxious_12_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_anxious_12_frequency] != '0'",,,,,,
somna_anxious_13_frequency,somna,,radio,"Find it more difficult to urinate","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_anxious_13_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_anxious_13_frequency] != '0'",,,,,,
somna_anxious_14_frequency,somna,,radio,"Have a bowel movement less than usual ","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_anxious_14_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_anxious_14_frequency] != '0'",,,,,,
somna_anxious_15_frequency,somna,,radio,"Have trouble breathing","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_anxious_15_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_anxious_15_frequency] != '0'",,,,,,
somna_anxious_16_frequency,somna,,radio,"Have an uncomfortable feeling in your stomach","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_anxious_16_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_anxious_16_frequency] != '0'",,,,,,
somna_anxious_17_frequency,somna,,radio,"Get clammy hands","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_anxious_17_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_anxious_17_frequency] != '0'",,,,,,
somna_anxious_18_frequency,somna,,radio,"Feel like your heart is racing","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_anxious_18_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_anxious_18_frequency] != '0'",,,,,,
somna_anxious_19_frequency,somna,,radio,"Feel lethargic or low energy","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_anxious_19_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_anxious_19_frequency] != '0'",,,,,,
somna_anxious_20_frequency,somna,,radio,"Breathe fast","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
somna_anxious_20_intensity,somna,,radio,"When this happens how intense is this experience?","1, Mild | 2, Between mild and moderate | 3, Moderate | 4, Between moderate and severe | 5, Severe",,,,,,"[somna_anxious_20_frequency] != '0'",,,,,,
somna_anxious_21_frequency,somna,,radio,"Have a headache","0, Never | 1, Rarely | 2, Sometimes | 3, Usually | 4, Always",,,,,,,,,,,,
